IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
TUL,Tulsa International Airport,Tulsa,OK,USA,36.20,-95.89
TUS,Tucson International Airport,Tucson,AZ,USA,32.12,-110.94
TVC,Cherry Capital Airport,Traverse City,MI,USA,44.74,-85.58
TWF,Magic Valley Regional Airport (Joslin Field),Twin Falls,ID,USA,42.48,-114.49
TXK,Texarkana Regional Airport (Webb Field),Texarkana,AR,USA,33.45,-93.99
TYR,Tyler Pounds Regional Airport,Tyler,TX,USA,32.35,-95.40
TYS,McGhee Tyson Airport,Knoxville,TN,USA,35.81,-83.99
UST,Northeast Florida Regional Airport (St. Augustine Airport),St. Augustine,FL,USA,38.98,-98.37
VEL,Valdez Airport,Vernal,UT,USA,40.44,-109.51
VLD,Valdosta Regional Airport,Valdosta,GA,USA,30.78,-83.28
VPS,Destin-Fort Walton Beach Airport/Eglin AFB,Valparaiso,FL,USA,30.48,-86.53
WRG,Wrangell Airport,Wrangell,AK,USA,56.48,-132.37
WYS,Westerly State Airport,West Yellowstone,MT,USA,44.69,-111.12
XNA,Northwest Arkansas Regional Airport,Fayetteville/Springdale/Rogers,AR,USA,36.28,-94.31
YAK,Yakutat Airport,Yakutat,AK,USA,59.50,-139.66
YUM,Yuma International Airport,Yuma,AZ,USA,32.66,-114.61
